epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,161.225,0.77802,1.42242,0.26381,0.64171,0.88681,0.9089,0.71276,0.85143,0.40758,0.88668,0.07143,0.07841,0.03137,1.59091,8.19179,0.67979,1.28998,1.62486,0.0001962,0.0001962,0.0001962
92,163.042,0.53872,1.39408,0.21564,0.49265,0.81551,0.90046,0.64645,0.84827,0.41513,0.8818,0.07143,0.09672,0.04106,1.54374,8.02875,0.67577,1.25152,1.59696,0.000180362,0.000180362,0.000180362
93,164.8,0.70233,1.37614,0.26184,0.52141,0.93324,0.90046,0.64645,0.84827,0.41513,0.8818,0.07143,0.09672,0.04106,1.54374,8.02875,0.67577,1.25152,1.59696,0.000164128,0.000164128,0.000164128
94,166.457,0.6024,1.41407,0.23295,0.49911,0.90386,0.90046,0.64645,0.84827,0.41513,0.8818,0.07143,0.09672,0.04106,1.54374,8.02875,0.67577,1.25152,1.59696,0.000147498,0.000147498,0.000147498
95,168.411,0.56782,1.6244,0.27961,0.44043,0.94193,0.90046,0.64645,0.84827,0.41513,0.8818,0.07143,0.09672,0.04106,1.54374,8.02875,0.67577,1.25152,1.59696,0.000130472,0.000130472,0.000130472
96,170.609,0.6445,1.58433,0.26605,0.49791,0.94259,1,0.63109,0.82914,0.41144,0.8839,0.07143,0.09328,0.0406,1.60487,7.97185,0.67937,1.29315,1.62584,0.00011305,0.00011305,0.00011305
97,172.66,0.57773,1.17756,0.24702,0.52233,0.90455,1,0.63109,0.82914,0.41144,0.8839,0.07143,0.09328,0.0406,1.60487,7.97185,0.67937,1.29315,1.62584,9.5232e-05,9.5232e-05,9.5232e-05
98,174.459,0.60744,1.44277,0.26066,0.45683,1.0378,1,0.63109,0.82914,0.41144,0.8839,0.07143,0.09328,0.0406,1.60487,7.97185,0.67937,1.29315,1.62584,7.7018e-05,7.7018e-05,7.7018e-05
99,176.244,0.50394,1.01177,0.23669,0.49771,0.85104,1,0.63109,0.82914,0.41144,0.8839,0.07143,0.09328,0.0406,1.60487,7.97185,0.67937,1.29315,1.62584,5.8408e-05,5.8408e-05,5.8408e-05
100,178.098,0.50992,1.01056,0.22452,0.40365,0.84344,0.84356,0.64286,0.83394,0.40581,0.87611,0.07143,0.0929,0.04051,1.62593,7.95272,0.68854,1.3098,1.64925,3.9402e-05,3.9402e-05,3.9402e-05
